time;heat.hist;temp.hist;humi.hist;temp.fore;humi.fore
28/07/2020 00:00;9867,117;18,8;95;;
28/07/2020 01:00;10439,267;18,6;91;;
28/07/2020 02:00;9995,783;17,9;91;;
28/07/2020 03:00;10614,567;17,3;91;;
28/07/2020 04:00;10654,133;16,7;87;;
28/07/2020 05:00;10655,15;16,3;82;;
28/07/2020 06:00;9982,3;15,7;79;;
28/07/2020 07:00;12518,333;15,1;74;;
28/07/2020 08:00;13536,983;14,7;76;;
28/07/2020 09:00;13564,117;15,5;73;;
28/07/2020 10:00;12602,867;17,2;68;;
28/07/2020 11:00;11379,367;18,3;63;;
28/07/2020 12:00;10901,933;20,2;54;;
28/07/2020 13:00;10678,95;20,6;51;;
28/07/2020 14:00;10150,817;21,7;50;;
28/07/2020 15:00;10308,517;22,5;46;;
28/07/2020 16:00;9567,633;23,4;44;;
28/07/2020 17:00;8663,4;24;42;;
28/07/2020 18:00;10088,817;24,4;40;;
28/07/2020 19:00;9623,65;24,5;41;;
28/07/2020 20:00;10529,467;23,5;44;;
28/07/2020 21:00;10872,15;21,2;61;;
28/07/2020 22:00;10481,533;18,6;70;;
28/07/2020 23:00;10386,1;17,1;77;;
29/07/2020 00:00;10501,483;16,4;82;;
29/07/2020 01:00;10462,967;16,7;74;;
29/07/2020 02:00;11218,683;15,8;74;;
29/07/2020 03:00;10969,167;15,2;75;;
29/07/2020 04:00;11768,583;14,5;78;;
29/07/2020 05:00;11483,05;14,2;82;;
29/07/2020 06:00;12329,117;13,4;86;;
29/07/2020 07:00;12769,933;13,6;86;;
29/07/2020 08:00;13092,083;15,2;79;;
29/07/2020 09:00;13249,25;16,5;73;;
29/07/2020 10:00;12168,2;18,6;64;;
29/07/2020 11:00;10538;21,1;54;;
29/07/2020 12:00;10388,05;22,7;49;;
29/07/2020 13:00;10152,483;23,6;45;;
29/07/2020 14:00;10709,467;24,9;42;;
29/07/2020 15:00;9684,55;25,8;36;;
29/07/2020 16:00;9970,9;27,4;33;;
29/07/2020 17:00;9580,617;27,2;31;;
29/07/2020 18:00;9551,517;27,7;30;;
29/07/2020 19:00;9649,733;28;29;;
29/07/2020 20:00;10167,6;27;29;;
29/07/2020 21:00;10437,083;25,4;35;;
29/07/2020 22:00;10303,183;21,8;44;;
29/07/2020 23:00;9515,433;19,9;51;;
30/07/2020 00:00;9602,033;18,8;57;;
30/07/2020 01:00;9487,233;19,2;57;;
30/07/2020 02:00;9846,65;18,5;61;;
30/07/2020 03:00;9128,267;16,9;68;;
30/07/2020 04:00;10217,15;17,1;68;;
30/07/2020 05:00;9709,45;17,2;68;;
30/07/2020 06:00;10317,117;16,9;69;;
30/07/2020 07:00;11101,75;16,5;70;;
30/07/2020 08:00;11346,117;17,6;65;;
30/07/2020 09:00;11794,217;19,9;55;;
30/07/2020 10:00;10862,4;23,1;46;;
30/07/2020 11:00;10313,433;26,4;37;;
30/07/2020 12:00;9858,933;28,8;32;;
30/07/2020 13:00;10258,383;30,7;28;;
30/07/2020 14:00;10009,933;32,5;24;;
30/07/2020 15:00;9460,317;33,5;24;;
30/07/2020 16:00;9368,683;34,8;23;;
30/07/2020 17:00;9187,833;35,7;24;;
30/07/2020 18:00;9291,85;35,9;23;;
30/07/2020 19:00;9596,15;35,5;25;;
30/07/2020 20:00;10249,533;35,1;26;;
30/07/2020 21:00;10084,817;33,1;31;;
30/07/2020 22:00;9735,467;31,1;34;;
30/07/2020 23:00;9421,783;28,8;40;;
31/07/2020 00:00;9060,183;27,9;42;;
31/07/2020 01:00;9317,3;27,3;43;;
31/07/2020 02:00;9442,283;27,1;44;;
31/07/2020 03:00;8782,65;26;49;;
31/07/2020 04:00;9270,283;24,7;56;;
31/07/2020 05:00;9090,017;22,7;68;;
31/07/2020 06:00;9134,65;22,7;71;;
31/07/2020 07:00;9617,433;22,4;73;;
31/07/2020 08:00;10359,85;22,3;78;;
31/07/2020 09:00;11316,433;23,3;79;;
31/07/2020 10:00;11147,483;24,5;68;;
31/07/2020 11:00;11014,25;24,3;71;;
31/07/2020 12:00;10279,467;22;82;;
31/07/2020 13:00;10271,75;20,8;87;;
31/07/2020 14:00;10759,267;22,9;75;;
31/07/2020 15:00;10694,85;24,6;64;;
31/07/2020 16:00;10488,7;26,3;60;;
31/07/2020 17:00;9831,933;25;56;;
31/07/2020 18:00;9904,783;26,4;57;;
31/07/2020 19:00;10280,783;25,9;51;;
31/07/2020 20:00;10159,683;24,2;59;;
31/07/2020 21:00;10746,517;21;74;;
31/07/2020 22:00;10073,383;19;86;;
31/07/2020 23:00;10153,317;18,6;90;;
01/08/2020 00:00;10199,317;18,8;89;;
01/08/2020 01:00;9592,967;19;90;;
01/08/2020 02:00;9548,233;19,3;89;;
01/08/2020 03:00;9210,283;19,1;93;;
01/08/2020 04:00;9460,983;18,9;93;;
01/08/2020 05:00;9530,483;19;93;;
01/08/2020 06:00;9481,45;19;95;;
01/08/2020 07:00;9869,067;18,9;97;;
01/08/2020 08:00;10007,967;18,9;95;;
01/08/2020 09:00;10393,95;19,3;89;;
01/08/2020 10:00;11150,95;20,9;72;;
01/08/2020 11:00;11378,183;22,4;65;;
01/08/2020 12:00;10732,167;23,8;54;;
01/08/2020 13:00;10740,783;25,1;47;;
01/08/2020 14:00;10114,983;25,3;49;;
01/08/2020 15:00;10644,467;25,7;49;;
01/08/2020 16:00;10180,533;25,5;49;;
01/08/2020 17:00;9560,633;24,4;51;;
01/08/2020 18:00;10312,683;24,4;50;;
01/08/2020 19:00;10232,967;22,9;55;;
01/08/2020 20:00;10200,233;21,5;62;;
01/08/2020 21:00;10222,233;19,8;71;;
01/08/2020 22:00;10317,667;18,5;75;;
01/08/2020 23:00;9910,333;17,9;79;;
02/08/2020 00:00;9755,55;17,7;82;;
02/08/2020 01:00;9979,817;17,5;83;;
02/08/2020 02:00;9858,167;18,6;70;;
02/08/2020 03:00;10105,15;17,9;72;;
02/08/2020 04:00;10709,533;17,1;73;;
02/08/2020 05:00;10830,433;16,2;77;;
02/08/2020 06:00;11556,917;15,2;83;;
02/08/2020 07:00;11172,95;14,2;85;;
02/08/2020 08:00;11416,867;15,5;82;;
02/08/2020 09:00;10948,667;16,4;76;;
02/08/2020 10:00;11232,633;17,5;71;;
02/08/2020 11:00;10079,717;19,8;58;;
02/08/2020 12:00;9910,567;19,9;51;;
02/08/2020 13:00;9951,917;20,6;52;;
02/08/2020 14:00;10790,033;22,5;46;;
02/08/2020 15:00;10376,233;23,3;42;;
02/08/2020 16:00;9400,017;23,5;40;;
02/08/2020 17:00;9456,983;23,6;41;;
02/08/2020 18:00;9946,267;23,3;47;;
02/08/2020 19:00;9118,517;21,9;54;;
02/08/2020 20:00;10242,533;20,2;57;;
02/08/2020 21:00;10468,667;18,9;61;;
02/08/2020 22:00;10870,25;17,4;69;;
02/08/2020 23:00;10421,083;16,7;75;;
03/08/2020 00:00;10516,617;15,9;83;;
03/08/2020 01:00;9149,25;15,2;87;;
03/08/2020 02:00;10323,117;14,9;91;;
03/08/2020 03:00;10516,15;15,8;89;;
03/08/2020 04:00;9970,883;15,6;90;;
03/08/2020 05:00;10373,433;15,5;91;;
03/08/2020 06:00;10203,45;15,9;88;;
03/08/2020 07:00;11019,1;15,1;94;;
03/08/2020 08:00;11430,217;15,3;95;;
03/08/2020 09:00;11599,117;16,3;91;;
03/08/2020 10:00;11636,717;17,8;79;;
03/08/2020 11:00;10674,533;19,6;70;;
03/08/2020 12:00;10149,133;20;57;;
03/08/2020 13:00;10783,3;21,8;52;;
03/08/2020 14:00;9979,1;23,2;43;;
03/08/2020 15:00;10491,15;23,7;39;;
03/08/2020 16:00;10039,35;24;41;;
03/08/2020 17:00;9903,917;25;35;;
03/08/2020 18:00;9955,55;23;37;;
03/08/2020 19:00;10007,25;23,6;35;;
03/08/2020 20:00;10690,617;21,4;53;;
03/08/2020 21:00;10313,333;20,2;60;;
03/08/2020 22:00;10580,75;18,4;66;;
03/08/2020 23:00;10335,567;16,7;77;;
04/08/2020 00:00;10031,8;14,3;80;;
04/08/2020 01:00;11877,533;14,5;69;;
04/08/2020 02:00;11286,033;13,8;74;;
04/08/2020 03:00;11149,7;13,1;78;;
04/08/2020 04:00;11337,217;11,8;83;;
04/08/2020 05:00;11121,183;11,6;89;;
04/08/2020 06:00;11922,117;10,5;92;;
04/08/2020 07:00;12313;9,7;94;;
04/08/2020 08:00;13135,4;10,4;96;;
04/08/2020 09:00;12680,233;16,2;76;;
04/08/2020 10:00;12059,717;18,4;61;;
04/08/2020 11:00;10325,733;20,5;51;;
04/08/2020 12:00;10421,4;21,6;45;;
04/08/2020 13:00;10492,533;22,5;45;;
04/08/2020 14:00;9961,233;23,6;41;;
04/08/2020 15:00;9222,5;24,5;37;;
04/08/2020 16:00;8763,183;25,1;36;;
04/08/2020 17:00;8358,317;25,5;38;;
04/08/2020 18:00;7965,883;24,6;39;;
04/08/2020 19:00;8307,867;23,8;39;;
04/08/2020 20:00;8594,383;22,3;43;;
04/08/2020 21:00;8476,35;20,2;55;;
04/08/2020 22:00;9122,35;17,1;67;;
04/08/2020 23:00;8707,3;15,2;80;;
05/08/2020 00:00;7945,883;13,9;86;;
05/08/2020 01:00;7470,167;13,1;91;;
05/08/2020 02:00;8882,1;12,2;92;;
05/08/2020 03:00;7707,783;11,4;94;;
05/08/2020 04:00;8888,65;11,1;96;;
05/08/2020 05:00;6812,15;11,1;97;;
05/08/2020 06:00;8460,367;11,2;98;;
05/08/2020 07:00;9182,567;11,5;98;;
05/08/2020 08:00;9319,333;13;97;;
05/08/2020 09:00;8657,233;16,3;87;;
05/08/2020 10:00;9356,7;19,6;75;;
05/08/2020 11:00;8805,7;21,4;68;;
05/08/2020 12:00;7295,75;22,3;59;;
05/08/2020 13:00;9364,933;24,1;55;;
05/08/2020 14:00;9923,433;25,6;47;;
05/08/2020 15:00;9169,733;26,9;44;;
05/08/2020 16:00;9011,217;27,6;45;;
05/08/2020 17:00;8620,767;27,6;46;;
05/08/2020 18:00;9451,917;27,5;43;;
05/08/2020 19:00;10572,633;26,5;43;;
05/08/2020 20:00;10092,3;25,8;41;;
05/08/2020 21:00;8931,017;23,2;58;;
05/08/2020 22:00;9591,867;20,4;73;;
05/08/2020 23:00;9857,35;18,4;83;;
06/08/2020 00:00;8988,25;16,7;90;;
06/08/2020 01:00;9024,333;15,5;92;;
06/08/2020 02:00;9350;15,5;96;;
06/08/2020 03:00;8699,517;15,8;98;;
06/08/2020 04:00;8627,833;15,1;97;;
06/08/2020 05:00;8959,617;13,8;96;;
06/08/2020 06:00;8917,667;14,7;99;;
06/08/2020 07:00;9142,783;14,5;98;;
06/08/2020 08:00;9708,517;16,9;99;;
06/08/2020 09:00;10042,067;20,2;80;;
06/08/2020 10:00;9006,317;22,2;69;;
06/08/2020 11:00;9279,033;25,5;55;;
06/08/2020 12:00;8570,833;28,1;45;;
06/08/2020 13:00;9236,8;30,3;31;;
06/08/2020 14:00;9137,333;32,9;24;;
06/08/2020 15:00;8975,283;33,4;21;;
06/08/2020 16:00;9616,367;34;20;;
06/08/2020 17:00;8583,4;34,7;20;;
06/08/2020 18:00;11529,983;34,6;21;;
06/08/2020 19:00;12655,717;35;21;;
06/08/2020 20:00;12897,333;33,6;24;;
06/08/2020 21:00;8830,733;30,1;30;;
06/08/2020 22:00;7983,15;26,5;39;;
06/08/2020 23:00;9113,983;23,8;48;;
07/08/2020 00:00;9755,333;22,8;51;;
07/08/2020 01:00;8975,017;21,6;56;;
07/08/2020 02:00;9163,517;20,7;60;;
07/08/2020 03:00;8692,267;19,7;63;;
07/08/2020 04:00;9031,533;19,4;63;;
07/08/2020 05:00;8679,517;22,7;47;;
07/08/2020 06:00;8915,45;21,9;49;;
07/08/2020 07:00;9421,783;19,6;58;;
07/08/2020 08:00;10013,217;22,5;49;;
07/08/2020 09:00;10581,6;24,9;43;;
07/08/2020 10:00;10370,4;28,1;37;;
07/08/2020 11:00;10189,85;31,5;32;;
07/08/2020 12:00;9693,867;34,3;26;;
07/08/2020 13:00;9822,517;36,8;20;;
07/08/2020 14:00;9788,917;37,2;19;;
07/08/2020 15:00;9039,083;38;17;;
07/08/2020 16:00;9533,183;38,8;16;;
07/08/2020 17:00;8789,917;39,2;16;;
07/08/2020 18:00;8753,833;36,9;25;;
07/08/2020 19:00;8812,75;36;25;;
