time;heat.hist;temp.hist;humi.hist;temp.fore;humi.fore
06/09/2021 09:00;500,0;19,7;68,0;;
06/09/2021 10:00;203,125;22,3;65,0;;
06/09/2021 11:00;593,75;23,5;58,0;;
06/09/2021 12:00;500,0;25,0;54,0;;
06/09/2021 13:00;406,25;26,0;55,0;;
06/09/2021 14:00;703,125;26,7;49,0;;
06/09/2021 15:00;1000,0;27,6;47,0;;
06/09/2021 16:00;703,125;28,4;42,0;;
06/09/2021 17:00;687,5;28,6;41,0;;
06/09/2021 18:00;812,5;27,9;43,0;;
06/09/2021 19:00;1093,75;26,9;39,0;;
06/09/2021 20:00;1093,75;24,0;47,0;;
06/09/2021 21:00;906,25;20,9;60,0;;
06/09/2021 22:00;1093,75;19,9;61,0;;
06/09/2021 23:00;1109,375;19,0;65,0;;
07/09/2021 00:00;1000,0;19,1;64,0;;
07/09/2021 01:00;1093,75;18,5;67,0;;
07/09/2021 02:00;906,25;19,1;65,0;;
07/09/2021 03:00;1000,0;17,8;71,0;;
07/09/2021 04:00;593,75;15,0;81,0;;
07/09/2021 05:00;1000,0;14,3;86,0;;
07/09/2021 06:00;1109,375;13,8;89,0;;
07/09/2021 07:00;890,625;13,4;92,0;;
07/09/2021 08:00;906,25;14,5;89,0;;
07/09/2021 09:00;1000,0;17,7;76,0;;
07/09/2021 10:00;1000,0;20,2;67,0;;
07/09/2021 11:00;890,625;21,9;66,0;;
07/09/2021 12:00;1000,0;23,6;67,0;;
07/09/2021 13:00;1000,0;25,9;61,0;;
07/09/2021 14:00;906,25;27,3;56,0;;
07/09/2021 15:00;1093,75;28,6;52,0;;
07/09/2021 16:00;906,25;29,2;46,0;;
07/09/2021 17:00;906,25;29,3;44,0;;
07/09/2021 18:00;1093,75;29,1;43,0;;
07/09/2021 19:00;1093,75;27,9;46,0;;
07/09/2021 20:00;1109,375;25,7;51,0;;
07/09/2021 21:00;1093,75;22,5;63,0;;
07/09/2021 22:00;1000,0;20,0;74,0;;
07/09/2021 23:00;1109,375;19,4;76,0;;
08/09/2021 00:00;1000,0;18,4;81,0;;
08/09/2021 01:00;890,625;17,3;88,0;;
08/09/2021 02:00;1000,0;16,6;88,0;;
08/09/2021 03:00;906,25;15,8;91,0;;
08/09/2021 04:00;890,625;15,6;90,0;;
08/09/2021 05:00;812,5;15,3;87,0;;
08/09/2021 06:00;796,875;15,1;93,0;;
08/09/2021 07:00;796,875;14,6;96,0;;
08/09/2021 08:00;906,25;15,7;98,0;;
08/09/2021 09:00;890,625;19,2;80,0;;
08/09/2021 10:00;796,875;21,3;69,0;;
08/09/2021 11:00;812,5;23,7;58,0;;
08/09/2021 12:00;796,875;26,1;47,0;;
08/09/2021 13:00;796,875;27,9;40,0;;
08/09/2021 14:00;906,25;29,0;36,0;;
08/09/2021 15:00;796,875;29,6;35,0;;
08/09/2021 16:00;796,875;30,0;35,0;;
08/09/2021 17:00;796,875;29,8;36,0;;
08/09/2021 18:00;703,125;29,2;36,0;;
08/09/2021 19:00;796,875;27,9;39,0;;
08/09/2021 20:00;703,125;25,9;44,0;;
08/09/2021 21:00;593,75;25,1;45,0;;
08/09/2021 22:00;609,375;25,1;43,0;;
08/09/2021 23:00;593,75;24,1;45,0;;
09/09/2021 00:00;500,0;22,7;52,0;;
09/09/2021 01:00;500,0;21,9;54,0;;
09/09/2021 02:00;609,375;21,0;56,0;;
09/09/2021 03:00;500,0;19,9;58,0;;
09/09/2021 04:00;593,75;20,3;57,0;;
09/09/2021 05:00;500,0;19,8;60,0;;
09/09/2021 06:00;593,75;19,4;65,0;;
09/09/2021 07:00;609,375;19,3;65,0;;
09/09/2021 08:00;593,75;19,2;67,0;;
09/09/2021 09:00;703,125;20,0;66,0;;
09/09/2021 10:00;593,75;20,8;62,0;;
09/09/2021 11:00;703,125;21,3;63,0;;
09/09/2021 12:00;703,125;22,4;59,0;;
09/09/2021 13:00;703,125;25,1;50,0;;
09/09/2021 14:00;890,625;24,3;49,0;;
09/09/2021 15:00;812,5;21,6;61,0;;
09/09/2021 16:00;796,875;21,5;63,0;;
09/09/2021 17:00;703,125;21,7;60,0;;
09/09/2021 18:00;796,875;20,1;76,0;;
09/09/2021 19:00;593,75;20,3;76,0;;
09/09/2021 20:00;796,875;19,0;78,0;;
09/09/2021 21:00;609,375;18,3;84,0;;
09/09/2021 22:00;593,75;18,3;86,0;;
09/09/2021 23:00;703,125;18,5;84,0;;
10/09/2021 00:00;593,75;18,0;85,0;;
10/09/2021 01:00;703,125;18,2;85,0;;
10/09/2021 02:00;609,375;17,9;88,0;;
10/09/2021 03:00;593,75;18,0;84,0;;
10/09/2021 04:00;703,125;17,7;87,0;;
10/09/2021 05:00;593,75;17,3;88,0;;
10/09/2021 06:00;609,375;17,7;84,0;;
10/09/2021 07:00;593,75;17,2;89,0;;
10/09/2021 08:00;593,75;17,1;93,0;;
10/09/2021 09:00;609,375;18,3;88,0;;
10/09/2021 10:00;703,125;18,3;85,0;;
10/09/2021 11:00;593,75;17,7;86,0;;
10/09/2021 12:00;703,125;17,1;90,0;;
10/09/2021 13:00;703,125;17,7;91,0;;
10/09/2021 14:00;687,5;18,4;85,0;;
10/09/2021 15:00;703,125;20,2;79,0;;
10/09/2021 16:00;906,25;21,3;73,0;;
10/09/2021 17:00;796,875;21,8;70,0;;
10/09/2021 18:00;796,875;22,2;69,0;;
10/09/2021 19:00;906,25;21,8;69,0;;
10/09/2021 20:00;703,125;19,5;78,0;;
10/09/2021 21:00;796,875;17,8;88,0;;
10/09/2021 22:00;703,125;17,1;91,0;;
10/09/2021 23:00;687,5;16,2;94,0;;
11/09/2021 00:00;703,125;16,3;95,0;;
11/09/2021 01:00;703,125;17,6;94,0;;
11/09/2021 02:00;703,125;17,4;95,0;;
11/09/2021 03:00;593,75;17,4;90,0;;
11/09/2021 04:00;703,125;17,4;89,0;;
11/09/2021 05:00;593,75;16,8;93,0;;
11/09/2021 06:00;703,125;16,1;94,0;;
11/09/2021 07:00;609,375;16,6;93,0;;
11/09/2021 08:00;687,5;15,6;96,0;;
11/09/2021 09:00;703,125;16,9;96,0;;
11/09/2021 10:00;609,375;20,5;79,0;;
11/09/2021 11:00;687,5;21,1;71,0;;
11/09/2021 12:00;703,125;22,4;64,0;;
11/09/2021 13:00;703,125;23,0;60,0;;
11/09/2021 14:00;703,125;23,8;58,0;;
11/09/2021 15:00;703,125;24,8;51,0;;
11/09/2021 16:00;796,875;25,3;49,0;;
11/09/2021 17:00;703,125;25,1;49,0;;
11/09/2021 18:00;687,5;24,6;52,0;;
11/09/2021 19:00;703,125;23,7;50,0;;
11/09/2021 20:00;703,125;21,1;62,0;;
11/09/2021 21:00;593,75;18,6;73,0;;
11/09/2021 22:00;500,0;17,5;78,0;;
11/09/2021 23:00;500,0;16,8;80,0;;
12/09/2021 00:00;609,375;16,5;81,0;;
12/09/2021 01:00;500,0;16,0;84,0;;
12/09/2021 02:00;593,75;16,1;83,0;;
12/09/2021 03:00;500,0;16,0;85,0;;
12/09/2021 04:00;609,375;15,9;85,0;;
12/09/2021 05:00;687,5;15,9;83,0;;
12/09/2021 06:00;609,375;13,6;94,0;;
12/09/2021 07:00;703,125;12,6;97,0;;
12/09/2021 08:00;593,75;13,2;97,0;;
12/09/2021 09:00;703,125;16,5;84,0;;
12/09/2021 10:00;703,125;19,6;74,0;;
12/09/2021 11:00;687,5;20,4;75,0;;
12/09/2021 12:00;812,5;21,8;67,0;;
12/09/2021 13:00;687,5;23,1;59,0;;
12/09/2021 14:00;703,125;24,3;55,0;;
12/09/2021 15:00;906,25;24,8;47,0;;
12/09/2021 16:00;796,875;25,3;48,0;;
12/09/2021 17:00;796,875;25,4;46,0;;
12/09/2021 18:00;796,875;24,8;51,0;;
12/09/2021 19:00;703,125;24,1;52,0;;
12/09/2021 20:00;703,125;20,8;64,0;;
12/09/2021 21:00;703,125;18,4;77,0;;
12/09/2021 22:00;593,75;18,0;76,0;;
12/09/2021 23:00;703,125;16,9;80,0;;
13/09/2021 00:00;593,75;16,2;82,0;;
13/09/2021 01:00;703,125;15,9;82,0;;
13/09/2021 02:00;796,875;14,7;87,0;;
13/09/2021 03:00;812,5;14,0;90,0;;
13/09/2021 04:00;796,875;14,1;89,0;;
13/09/2021 05:00;703,125;13,5;93,0;;
13/09/2021 06:00;687,5;13,4;95,0;;
13/09/2021 07:00;812,5;12,7;97,0;;
13/09/2021 08:00;687,5;13,3;98,0;;
13/09/2021 09:00;703,125;16,2;87,0;;
13/09/2021 10:00;703,125;18,2;79,0;;
13/09/2021 11:00;593,75;20,2;72,0;;
13/09/2021 12:00;203,125;22,0;63,0;;
13/09/2021 13:00;406,25;24,3;58,0;;
13/09/2021 14:00;1000,0;26,1;53,0;;
13/09/2021 15:00;890,625;27,3;48,0;;
