time;heat.hist;temp.hist;humi.hist;temp.fore;humi.fore
23/09/2021 09:00;15051,935195922852;11,5;99,0;;
23/09/2021 10:00;14765,931447347006;13,9;86,0;;
23/09/2021 11:00;13972,096602121988;16,1;72,0;;
23/09/2021 12:00;12269,012832641602;18,9;59,0;;
23/09/2021 13:00;;20,1;57,0;;
23/09/2021 14:00;;21,8;51,0;;
23/09/2021 15:00;;22,8;49,0;;
23/09/2021 16:00;;23,2;46,0;;
23/09/2021 17:00;;23,9;46,0;;
23/09/2021 18:00;;23,1;48,0;;
23/09/2021 19:00;;22,5;49,0;;
23/09/2021 20:00;11879,477500915527;18,6;57,0;;
23/09/2021 21:00;;15,8;70,0;;
23/09/2021 22:00;12002,176920572916;15,8;76,0;;
23/09/2021 23:00;12050,280094146729;16,2;76,0;;
24/09/2021 00:00;13035,535335540771;14,9;81,0;;
24/09/2021 01:00;12211,797714233398;13,7;83,0;;
24/09/2021 02:00;12345,565795898438;13,3;84,0;;
24/09/2021 03:00;12286,702919006348;12,4;87,0;;
24/09/2021 04:00;12275,16222000122;11,1;92,0;;
24/09/2021 05:00;12190,754095713297;10,6;91,0;;
24/09/2021 06:00;12776,865800221762;10,2;95,0;;
24/09/2021 07:00;12998,726844787598;10,5;94,0;;
24/09/2021 08:00;14530,953089396158;9,6;96,0;;
24/09/2021 09:00;15415,78467686971;12,1;94,0;;
24/09/2021 10:00;15661,388715108236;14,4;82,0;;
24/09/2021 11:00;13610,311349232992;17,5;71,0;;
24/09/2021 12:00;12409,285545349121;20,0;62,0;;
24/09/2021 13:00;12160,248756408691;21,6;56,0;;
24/09/2021 14:00;11903,619766235352;23,1;50,0;;
24/09/2021 15:00;;23,8;47,0;;
24/09/2021 16:00;;24,8;44,0;;
24/09/2021 17:00;;25,1;43,0;;
24/09/2021 18:00;;24,8;44,0;;
24/09/2021 19:00;;23,5;49,0;;
24/09/2021 20:00;;20,0;60,0;;
24/09/2021 21:00;;18,3;67,0;;
24/09/2021 22:00;;17,0;70,0;;
24/09/2021 23:00;;16,5;74,0;;
25/09/2021 00:00;12501,725673675537;15,9;76,0;;
25/09/2021 01:00;12488,40045928955;14,7;81,0;;
25/09/2021 02:00;;13,0;89,0;;
25/09/2021 03:00;12275,22611618042;12,8;88,0;;
25/09/2021 04:00;12057,733058929443;13,4;91,0;;
25/09/2021 05:00;11890,50006866455;12,9;90,0;;
25/09/2021 06:00;12128,044128417969;13,4;89,0;;
25/09/2021 07:00;12073,082160949707;12,9;90,0;;
25/09/2021 08:00;12793,18364461263;12,7;90,0;;
25/09/2021 09:00;12724,794546763102;13,5;88,0;;
25/09/2021 10:00;12925,054709116617;15,4;83,0;;
25/09/2021 11:00;12596,17026646932;16,9;77,0;;
25/09/2021 12:00;12145,18435796102;17,9;81,0;;
25/09/2021 13:00;11820,71304321289;18,6;87,0;;
25/09/2021 14:00;12377,022743225098;19,0;86,0;;
25/09/2021 15:00;;19,1;89,0;;
25/09/2021 16:00;12229,562759399414;18,9;93,0;;
25/09/2021 17:00;12226,509094238281;18,1;94,0;;
25/09/2021 18:00;12396,162986755371;18,8;92,0;;
25/09/2021 19:00;12286,267280578613;18,4;91,0;;
25/09/2021 20:00;11976,341247558594;18,1;93,0;;
25/09/2021 21:00;12596,221605936686;18,5;95,0;;
25/09/2021 22:00;12428,295612335205;18,4;96,0;;
25/09/2021 23:00;;18,8;95,0;;
26/09/2021 00:00;;19,0;95,0;;
26/09/2021 01:00;;18,9;93,0;;
26/09/2021 02:00;;18,6;92,0;;
26/09/2021 03:00;;18,0;94,0;;
26/09/2021 04:00;;18,1;93,0;;
26/09/2021 05:00;;17,9;92,0;;
26/09/2021 06:00;;17,5;93,0;;
26/09/2021 07:00;;17,0;94,0;;
26/09/2021 08:00;;16,7;96,0;;
26/09/2021 09:00;11915,787696838379;17,3;96,0;;
26/09/2021 10:00;;17,8;95,0;;
26/09/2021 11:00;12571,282386779785;18,9;90,0;;
26/09/2021 12:00;12345,369338989258;20,4;81,0;;
26/09/2021 13:00;12665,612983703613;21,0;72,0;;
26/09/2021 14:00;12002,189636230469;23,6;64,0;;
26/09/2021 15:00;11921,734809875488;23,3;62,0;;
26/09/2021 16:00;;21,7;67,0;;
26/09/2021 17:00;;20,5;72,0;;
26/09/2021 18:00;;21,2;69,0;;
26/09/2021 19:00;;20,3;70,0;;
26/09/2021 20:00;12191,169738769531;17,9;84,0;;
26/09/2021 21:00;13397,49927520752;17,7;88,0;;
